,ageBetween20to34,ageBetween35to59,ageBetween5to19,ageGreaterThan60,ageUnder5,educationBachelorOrGreater,educationHighSchoolGraduate,geographyId,geographyName,households,incomeBelowPoverty,incomeBetween100to200,incomeBetween25to50,incomeBetween50to100,incomeGreater200,incomeLessThan25,landArea,medianIncome,myAreaIndicator,population,raceAsian,raceBlack,raceHispanic,raceNativeAmerican,raceWhite
0,0.2065,0.3139,0.2302,0.1928,0.0567,0.2023,0.8075,01001,Autauga,23603,0.119,0.1651,0.2571,0.3554,0.015,0.2074,586.26899165,57535.7143,False,58974,0.0045,0.1688,0.0179,0.0004,0.8083
1,0.1782,0.308,0.1979,0.2616,0.0543,0.2316,0.8249,01003,Baldwin,114231,0.133,0.1547,0.2564,0.333,0.0433,0.2126,1979.73354133,57137.7357,False,204081,0.0025,0.0816,0.0396,0.0013,0.8749
2,0.2088,0.3389,0.1965,0.2042,0.0516,0.1109,0.645,01005,Barbour,11771,0.253,0.0605,0.2713,0.2501,0.0056,0.4125,888.89821048,33083.3028,False,26160,0.0015,0.4707,0.0631,0.0028,0.4619
3,0.2109,0.3326,0.2032,0.2015,0.0518,0.0794,0.6231,01007,Bibb,9242,0.209,0.125,0.2797,0.2915,0.0043,0.2995,608.51850922,44393.1623,False,23162,0.0,0.2059,0.0159,0.0001,0.7781
4,0.1942,0.322,0.2127,0.2169,0.0542,0.1007,0.7097,01009,Blount,25313,0.165,0.1154,0.2697,0.3247,0.0119,0.2783,614.44596626,45487.8971,False,60208,0.0003,0.009,0.0759,0.0005,0.9143
5,0.2026,0.3379,0.2157,0.1762,0.0677,0.0622,0.6152,01011,Bullock,4478,0.311,0.0603,0.2921,0.1952,0.0313,0.4211,614.56795066,32508.9714,False,10251,0.0055,0.7354,0.0761,0.0001,0.1829
6,0.2181,0.3064,0.2181,0.2022,0.0552,0.105,0.6649,01013,Butler,10068,0.281,0.062,0.2893,0.2149,0.011,0.4227,753.73287615,32477.8425,False,20004,0.0063,0.4543,0.0047,0.0,0.5347
7,0.1986,0.334,0.2027,0.212,0.0528,0.1633,0.7511,01015,Calhoun,55224,0.235,0.0939,0.2637,0.2846,0.0145,0.3432,569.91356918,41122.7475,False,119724,0.0027,0.1925,0.0267,0.0006,0.7775
8,0.2016,0.3346,0.2017,0.2161,0.046,0.0931,0.6398,01017,Chambers,16715,0.285,0.0456,0.2945,0.2498,0.0043,0.4058,578.05749778,33127.8687,False,31560,0.0045,0.3813,0.0087,0.0,0.6055
9,0.1804,0.3291,0.1831,0.2668,0.0406,0.0966,0.6392,01019,Cherokee,16405,0.212,0.0878,0.2541,0.2885,0.0147,0.3549,566.71374094,41069.7115,False,25418,0.0002,0.0338,0.0051,0.0002,0.9607
10,0.2009,0.3203,0.2243,0.195,0.0595,0.0996,0.6594,01021,Chilton,20100,0.204,0.0933,0.2698,0.2972,0.0151,0.3245,668.91462588,42338.4652,False,44749,0.0015,0.0842,0.0793,0.0008,0.8342
11,0.2118,0.3191,0.2045,0.221,0.0436,0.0903,0.6466,01023,Choctaw,6979,0.207,0.048,0.2468,0.2476,0.0116,0.4461,909.85412525,33509.3793,False,12426,0.0,0.4497,0.0015,0.0,0.5489
12,0.2174,0.319,0.2164,0.2018,0.0455,0.1168,0.708,01025,Clarke,12397,0.249,0.0804,0.2142,0.2197,0.025,0.4608,1239.99220616,31617.9298,False,23996,0.0003,0.4594,0.0051,0.001,0.5341
13,0.1968,0.3318,0.2032,0.2268,0.0415,0.0825,0.668,01027,Clay,6800,0.206,0.081,0.302,0.2558,0.0064,0.3549,578.40747063,36189.3929,False,12861,0.0,0.1447,0.0166,0.0002,0.8386
